trial,state,value,seconds,elapsed_s,running_best,model,strategy
83,PRUNED,0.430409592886132,0.395908,62.940136,0.430874893281243,Logistic Regression,Optuna
84,PRUNED,0.43059034476728364,0.43367,63.431098,0.430874893281243,Logistic Regression,Optuna
85,PRUNED,0.428690442855154,0.41339,63.894193,0.430874893281243,Logistic Regression,Optuna
86,PRUNED,0.4290820305514969,0.532552,64.479184,0.430874893281243,Logistic Regression,Optuna
87,COMPLETE,0.42913943340490496,0.817783,65.34947,0.430874893281243,Logistic Regression,Optuna
88,COMPLETE,0.42816131485085585,0.722573,66.121839,0.430874893281243,Logistic Regression,Optuna
89,PRUNED,0.4308281563163677,0.469187,66.641699,0.430874893281243,Logistic Regression,Optuna
90,PRUNED,0.4305309603880425,0.453823,67.147197,0.430874893281243,Logistic Regression,Optuna
91,PRUNED,0.4307409108287046,0.433171,67.630656,0.430874893281243,Logistic Regression,Optuna
92,COMPLETE,0.4292582065733434,0.781182,68.462069,0.430874893281243,Logistic Regression,Optuna
93,COMPLETE,0.4293107064253092,0.844749,69.356708,0.430874893281243,Logistic Regression,Optuna
94,PRUNED,0.4246331289077697,0.378793,69.78917,0.430874893281243,Logistic Regression,Optuna
95,COMPLETE,0.4293069180640183,0.774622,70.616575,0.430874893281243,Logistic Regression,Optuna
96,COMPLETE,0.4287242610537379,0.74253,71.408511,0.430874893281243,Logistic Regression,Optuna
97,PRUNED,0.40930117834364554,0.401154,71.860963,0.430874893281243,Logistic Regression,Optuna
98,PRUNED,0.4308665838811325,0.418411,72.332445,0.430874893281243,Logistic Regression,Optuna
99,COMPLETE,0.42721566671278294,0.913142,73.29612,0.430874893281243,Logistic Regression,Optuna
100,PRUNED,0.4306170386352503,0.387396,73.734308,0.430874893281243,Logistic Regression,Optuna
101,COMPLETE,0.429284718635369,0.842756,74.626248,0.430874893281243,Logistic Regression,Optuna
102,COMPLETE,0.4289569617078666,0.828558,75.507317,0.430874893281243,Logistic Regression,Optuna
103,COMPLETE,0.429301032114154,0.766417,76.324534,0.430874893281243,Logistic Regression,Optuna
104,PRUNED,0.42982798920002907,0.40312,76.782023,0.430874893281243,Logistic Regression,Optuna
105,PRUNED,0.43008921839145653,0.429448,77.26604,0.430874893281243,Logistic Regression,Optuna
106,PRUNED,0.4307267542618717,0.447071,77.76665,0.430874893281243,Logistic Regression,Optuna
107,PRUNED,0.4291994197847677,0.38419,78.20105,0.430874893281243,Logistic Regression,Optuna
108,COMPLETE,0.4289990598707136,0.872986,79.127548,0.430874893281243,Logistic Regression,Optuna
109,PRUNED,0.4281067553225593,0.40337,79.580706,0.430874893281243,Logistic Regression,Optuna
110,PRUNED,0.42944891392090356,0.480655,80.11443,0.430874893281243,Logistic Regression,Optuna
111,COMPLETE,0.42923804508850094,0.791001,80.954611,0.430874893281243,Logistic Regression,Optuna
112,COMPLETE,0.429203930960472,0.791923,81.796745,0.430874893281243,Logistic Regression,Optuna
113,COMPLETE,0.4293149370626563,0.84053,82.687175,0.430874893281243,Logistic Regression,Optuna
114,PRUNED,0.4298578482799925,0.392056,83.130109,0.430874893281243,Logistic Regression,Optuna
115,COMPLETE,0.4292033666137273,0.797173,83.976683,0.430874893281243,Logistic Regression,Optuna
116,COMPLETE,0.4257783001261169,0.690427,84.718497,0.430874893281243,Logistic Regression,Optuna
117,COMPLETE,0.4283681725928679,0.917379,85.687892,0.430874893281243,Logistic Regression,Optuna
118,COMPLETE,0.42934026501150835,0.751502,86.498898,0.430874893281243,Logistic Regression,Optuna
119,PRUNED,0.42935016709588786,0.385709,86.934972,0.430874893281243,Logistic Regression,Optuna
120,COMPLETE,0.429284982086312,0.821753,87.809801,0.430874893281243,Logistic Regression,Optuna
121,COMPLETE,0.4292869055125403,0.768445,88.630381,0.430874893281243,Logistic Regression,Optuna
122,COMPLETE,0.4292956781618964,0.782156,89.462192,0.430874893281243,Logistic Regression,Optuna
123,COMPLETE,0.42929583574945246,0.817518,90.331006,0.430874893281243,Logistic Regression,Optuna
124,COMPLETE,0.42717610464791006,0.737171,91.121853,0.430874893281243,Logistic Regression,Optuna
125,PRUNED,0.4308272392458905,0.396928,91.568871,0.430874893281243,Logistic Regression,Optuna
126,PRUNED,0.424841800218763,0.37068,91.990202,0.430874893281243,Logistic Regression,Optuna
127,PRUNED,0.4306738706796556,0.448555,92.489442,0.430874893281243,Logistic Regression,Optuna
128,COMPLETE,0.4291608151463698,0.814679,93.354244,0.430874893281243,Logistic Regression,Optuna
129,COMPLETE,0.4289224452634613,0.750016,94.154338,0.430874893281243,Logistic Regression,Optuna
130,COMPLETE,0.42805539136390375,0.929195,95.132799,0.430874893281243,Logistic Regression,Optuna
131,COMPLETE,0.4291070269802832,0.8583,96.041223,0.430874893281243,Logistic Regression,Optuna
132,COMPLETE,0.42914341030630093,0.764863,96.855685,0.430874893281243,Logistic Regression,Optuna
133,PRUNED,0.4308493627210792,0.396764,97.303729,0.430874893281243,Logistic Regression,Optuna
134,COMPLETE,0.4293367558806411,0.791288,98.145537,0.430874893281243,Logistic Regression,Optuna
135,COMPLETE,0.42517958857376675,0.726509,98.925277,0.430874893281243,Logistic Regression,Optuna
136,PRUNED,0.42992422540652403,0.387001,99.363129,0.430874893281243,Logistic Regression,Optuna
137,PRUNED,0.43011219979453563,0.434928,99.848555,0.430874893281243,Logistic Regression,Optuna
138,PRUNED,0.43043218409100376,0.42041,100.318694,0.430874893281243,Logistic Regression,Optuna
139,COMPLETE,0.42928122857030654,0.814178,101.183091,0.430874893281243,Logistic Regression,Optuna
140,PRUNED,0.42091864475612645,0.369476,101.603081,0.430874893281243,Logistic Regression,Optuna
141,COMPLETE,0.42882330849586453,0.812154,102.46571,0.430874893281243,Logistic Regression,Optuna
142,COMPLETE,0.42909262409334054,0.803332,103.320491,0.430874893281243,Logistic Regression,Optuna
143,COMPLETE,0.42919180590315215,0.779456,104.152233,0.430874893281243,Logistic Regression,Optuna
144,COMPLETE,0.4276465045904531,0.865025,105.067381,0.430874893281243,Logistic Regression,Optuna
145,COMPLETE,0.4291219278538458,0.766379,105.882905,0.430874893281243,Logistic Regression,Optuna
146,COMPLETE,0.4292898479908713,0.790447,106.72831,0.430874893281243,Logistic Regression,Optuna
147,COMPLETE,0.4274258223010892,0.722345,107.501174,0.430874893281243,Logistic Regression,Optuna
148,PRUNED,0.4298503255597941,0.400967,107.951884,0.430874893281243,Logistic Regression,Optuna
149,COMPLETE,0.4291744122726106,0.812728,108.817729,0.430874893281243,Logistic Regression,Optuna
